Flight,Departure Time,Arrival Time,Origin Code,Airline,Origin Full,Status
SK1424,16:10,17:20,CPH,SAS / Operated by CityJet on behalf of SAS,Copenhagen,Common
SK2944,12:00,17:25,FAO,SAS,Faro,Common
SK532,13:55,17:30,LHR,SAS / Operated by SAS Connect on behalf of SAS,London,Common
LH2418,15:35,17:50,MUC,Lufthansa,Munich,Common
LH804,16:05,18:15,FRA,Lufthansa,Frankfurt,Common
FR4627,16:15,18:15,KRK,Ryanair / Operated by Malta Air on behalf of Ryanair,Krakow,Common
SK711,18:00,18:20,HEL,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Helsinki,Common
SK13,17:15,18:35,LLA,SAS,Lulea,Common
FR755,16:25,18:45,VIE,Ryanair / Operated by Lauda Europe on behalf of Ryanair,Vienna,Common
SK1410,17:35,18:45,CPH,SAS / Operated by SAS Connect on behalf of SAS,Copenhagen,Common
OS1421,17:55,19:15,BLL,Austrian,Billund,Common
SK164,18:05,19:15,GOT,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Gothenburg,Common
EW5065,16:50,19:20,INN,Eurowings / Operated by Eurowings Europe on behalf of Eurowings,Innsbruck,Common
LO457,17:30,19:20,WAW,LOT Polish Airlines,Warsaw,Common
SK7938,17:10,19:25,SZG,SAS,Salzburg,Common
FR4623,19:20,19:30,TLL,Ryanair / Operated by Malta Air on behalf of Ryanair,Tallinn,Common
SK1412,18:30,19:40,CPH,SAS,Copenhagen,Common
SK2680,18:15,19:55,BER,SAS / Operated by CityJet on behalf of SAS,Berlin,Common
ET715,18:45,20:05,OSL,Ethiopian Airlines,Oslo,Common
FR4048,19:40,20:10,VNO,Ryanair / Operated by Buzz on behalf of Ryanair,Vilnius,Common
SK6072,17:30,20:15,LIN,SAS,Milan,Common
SK2099,13:30,20:20,TFS,SAS / Operated by SAS Connect on behalf of SAS,Tenerife,Common
AY819,20:10,20:25,HEL,Finnair,Helsinki,Common
BA786,17:00,20:35,LHR,British Airways,London,Common
SK2506,15:25,20:40,AGA,SAS / Operated by SAS Connect on behalf of SAS,Agadir,Common
SK1820,14:00,20:50,LPA,SAS / Operated by SAS Connect on behalf of SAS,Las Palmas,Common
FR4606,20:35,20:55,KUN,Ryanair / Operated by Buzz on behalf of Ryanair,Kaunas,Common
SK2027,19:55,20:55,UME,SAS / Operated by CityJet on behalf of SAS,Umea,Common
D8242,14:05,21:00,LPA,Norwegian Air Sweden,Las Palmas,Common
SK528,17:30,21:00,LHR,SAS / Operated by SAS Connect on behalf of SAS,London,Common
SK1491,19:00,21:00,TOS,SAS,Tromso,Common
FR3655,18:40,21:25,BGY,Ryanair / Operated by Malta Air on behalf of Ryanair,Milan,Common
SK1430,20:15,21:25,CPH,SAS / Operated by SAS Connect on behalf of SAS,Copenhagen,Common
SK1606,19:25,21:55,ZRH,SAS,Zurich,Common
6B252,20:50,22:05,CPH,TUIfly Nordic,Copenhagen,Common
D8528,17:10,22:10,RAK,Norwegian Air Sweden,Marrakech,Common
SK612,19:35,22:15,GVA,SAS,Geneva,Common
D8700,15:25,22:20,LPA,Norwegian Air Sweden,Las Palmas,Common
LX1238,19:45,22:35,GVA,Swiss,Geneva,Common
SK2618,20:10,22:50,GVA,SAS / Operated by SAS Connect on behalf of SAS,Geneva,Common
KL1227,20:55,22:55,AMS,KLM,Amsterdam,Common
SK2690,20:15,23:00,MXP,SAS,Milan,Common
SK2660,20:50,23:05,MUC,SAS / Operated by SAS Connect on behalf of SAS,Munich,Common
FR6099,21:40,23:10,GDN,Ryanair / Operated by Malta Air on behalf of Ryanair,Gdansk,Common
D8474,21:15,23:20,SZG,Norwegian Air Sweden,Salzburg,Common
LX1254,20:55,23:25,ZRH,Swiss,Zurich,Common
LH2420,21:10,23:25,MUC,Lufthansa,Munich,Common
FR4687,19:10,23:30,AGP,Ryanair / Operated by Malta Air on behalf of Ryanair,Malaga,Common
SK2950,19:15,23:30,SVQ,SAS / Operated by SAS Connect on behalf of SAS,Sevilla,Common
AF1462,21:00,23:40,CDG,Air France,Paris,Common
LH808,21:30,23:40,FRA,Lufthansa,Frankfurt,Common
D8611,21:00,23:45,TRN,Norwegian Air Sweden,Turin,Common
AY825,23:50,23:50,HEL,Finnair,Helsinki,Common
IB825,20:00,23:55,MAD,Iberia,Madrid,Common
D8330,21:10,23:55,LYS,Norwegian Air Sweden,Lyon,Common
FR4719,20:35,23:55,STN,Ryanair / Operated by Malta Air on behalf of Ryanair,London,Common
D8878,22:55,00:10,CPH,Norwegian Air Sweden,Copenhagen,Common
SK1428,23:00,00:10,CPH,SAS,Copenhagen,Only in flight_arrivals
FR9796,19:10,00:15,RAK,Ryanair / Operated by Malta Air on behalf of Ryanair,Marrakech,Only in flight_arrivals
SK534,21:05,00:30,LHR,SAS / Operated by SAS Connect on behalf of SAS,London,Only in flight_arrivals
6B648,15:15,00:40,SID,TUIfly Nordic,Sal,Only in flight_arrivals
CAO3157,02:00,04:50,CTU,Air China Cargo,Chengdu,Only in flight_arrivals
CAO3143,03:00,05:50,CTU,Air China Cargo,Chengdu,Only in flight_arrivals
TK1793,08:55,10:40,ISL,Turkish Airlines,Istanbul,Only in flight_arrivals
W64151,12:10,14:55,BEG,Wizz Air,Belgrade,Only in flight_arrivals
TK1795,15:15,17:05,ISL,Turkish Airlines,Istanbul,Only in flight_arrivals
SK2278,17:25,18:30,ESKS,SAS / Operated by Braathens Regional Airlines on behalf of SAS,Salen,Only in flight_arrivals
DK2565,N/A,N/A,HKT,N/A,N/A,Only in all_arrivals_df
CA3157,N/A,N/A,CTU,N/A,N/A,Only in all_arrivals_df
CAO3105,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
D8860,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
CAT9417,N/A,N/A,AAR,N/A,N/A,Only in all_arrivals_df
SK7515,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
QY6789,N/A,N/A,LTN,N/A,N/A,Only in all_arrivals_df
R6951,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
FR4693,N/A,N/A,STN,N/A,N/A,Only in all_arrivals_df
PE969,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
D8866,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
DK1743,N/A,N/A,LPA,N/A,N/A,Only in all_arrivals_df
CAT9423,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
D8876,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
SK9044,N/A,N/A,HEL,N/A,N/A,Only in all_arrivals_df
NH221,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
SK2287,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
CA3155,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
D8270,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
SK1818,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
SK1804,N/A,N/A,N/A,N/A,N/A,Only in all_arrivals_df
