fr24_id,Timestamp_start,Flight_start,Aircraft_start,Origin_start,Destination_start,Altitude_start,Ground_Speed_start,Vertical_Speed_start,Lat_start,Lon_start,Source_start,ETA_start,distance_to_airport_start,operating_as_start,Timestamp_end,Flight_end,Aircraft_end,Origin_end,Destination_end,Altitude_end,Ground_Speed_end,Vertical_Speed_end,Lat_end,Lon_end,Source_end,ETA_end,distance_to_airport_end,operating_as_end,Start_end_Distance_km,Max_Possible_Distance_km_end,Distance_From_Airport_Start_km,Distance_From_Airport_End_km,Coord_start in Airport Bounds
39317586,2025-02-20 07:00:00+00:00,AY802,A320,ARN,HEL,0.0,0.0,0.0,59.64379,17.92557,ADSB,,1.3480690529304835,FIN,2025-02-20 07:30:00+00:00,AY802,A320,ARN,HEL,27625.0,367.0,-2432.0,60.21194,22.53618,ADSB,2025-02-20 07:59:14+00:00,263.42614339050493,FIN,264.4903584317762,339.84200000000004,1.3480690529304835,263.42614339050493,True
39317980,2025-02-20 07:00:00+00:00,SK535,A20N,ARN,DUB,0.0,0.0,0.0,59.65477,17.93511,ADSB,,0.2974002444068171,SZS,2025-02-20 07:30:00+00:00,SK535,A20N,ARN,DUB,0.0,0.0,0.0,59.65477,17.93511,ADSB,2025-02-20 10:01:36+00:00,0.2974002444068171,SZS,0.0,388.92,0.2974002444068171,0.2974002444068171,True
393179ac,2025-02-20 07:00:00+00:00,SK181,AT76,ARN,AGH,0.0,0.0,0.0,59.65203,17.93035,ADSB,,0.5578440784191483,BRX,2025-02-20 07:30:00+00:00,SK181,AT76,ARN,AGH,0.0,0.0,0.0,59.65228,17.92781,ADSB,2025-02-20 08:42:40+00:00,0.6890055461444681,BRX,0.14538235860675444,264.836,0.5578440784191483,0.6890055461444681,True
393179fb,,,,,,,,,,,,,,,2025-02-20 07:30:00+00:00,SK9249,A20N,ARN,OSL,36000.0,348.0,0.0,59.84993,14.41709,ADSB,2025-02-20 07:55:44+00:00,198.5033098581101,SAS,,322.248,,198.5033098581101,
39317b22,,,,,,,,,,,,,,,2025-02-20 07:30:00+00:00,SK1129,AT76,ARN,RNB,19975.0,292.0,0.0,58.49918,16.94074,ADSB,2025-02-20 08:04:16+00:00,140.47887748869823,BRX,,270.392,,140.47887748869823,
39317c8c,,,,,,,,,,,,,,,2025-02-20 07:30:00+00:00,BT102,BCS3,ARN,RIX,24650.0,425.0,1472.0,59.01572,19.22645,ADSB,2025-02-20 08:08:32+00:00,101.75280643237177,BTI,,393.55,,101.75280643237177,
39317cb0,,,,,,,,,,,,,,,2025-02-20 07:30:00+00:00,W61732,A321,ARN,GDN,30025.0,469.0,1344.0,58.27817,17.03164,ADSB,2025-02-20 08:17:04+00:00,161.54961870535558,WZZ,,434.29400000000004,,161.54961870535558,
39317cf4,,,,,,,,,,,,,,,2025-02-20 07:30:00+00:00,QR170,B788,ARN,DOH,9850.0,291.0,2176.0,59.41095,18.22769,ADSB,2025-02-20 13:15:44+00:00,31.481814263860596,QTR,,269.466,,31.481814263860596,
39317d41,,,,,,,,,,,,,,,2025-02-20 07:30:00+00:00,SK1040,A20N,ARN,KRN,21250.0,341.0,2560.0,59.94337,17.72607,ADSB,2025-02-20 08:49:04+00:00,34.37336724966693,SZS,,315.766,,34.37336724966693,
39317d59,,,,,,,,,,,,,,,2025-02-20 07:30:00+00:00,LO456,E190,ARN,WAW,23100.0,453.0,1408.0,58.49321,18.08569,ADSB,2025-02-20 08:40:32+00:00,129.29230838937073,LOT,,419.478,,129.29230838937073,
39317d6f,,,,,,,,,,,,,,,2025-02-20 07:30:00+00:00,SK66,CRJ9,ARN,OSD,600.0,139.0,2304.0,59.6402,17.91486,ADSB,,2.0416474485039964,BCY,,128.714,,2.0416474485039964,
39317da5,,,,,,,,,,,,,,,2025-02-20 07:30:00+00:00,SK702,A20N,ARN,HEL,30650.0,408.0,2304.0,59.85808,19.11403,ADSB,2025-02-20 08:02:08+00:00,69.58508794065914,SAS,,377.808,,69.58508794065914,
39317ff9,,,,,,,,,,,,,,,2025-02-20 07:30:00+00:00,SK2151,A20N,ARN,GOT,8550.0,269.0,3776.0,59.56829,17.69045,ADSB,2025-02-20 08:10:40+00:00,16.92989413004605,SZS,,249.09400000000002,,16.92989413004605,
3931808d,2025-02-20 07:30:00+00:00,SK1553,A20N,ARN,AMS,0.0,4.0,0.0,59.66467,17.92653,ADSB,,1.4447113922521038,SZS,2025-02-20 08:00:00+00:00,SK1553,A20N,ARN,AMS,36000.0,428.0,0.0,57.51073,13.96415,ADSB,2025-02-20 09:16:48+00:00,331.36820652348524,SZS,331.69989291191627,396.32800000000003,1.4447113922521038,331.36820652348524,True
393180a8,,,,,,,,,,,,,,,2025-02-20 07:30:00+00:00,SK2129,AT76,ARN,HAD,10950.0,193.0,1344.0,59.4574,17.49999,ADSB,2025-02-20 08:21:20+00:00,33.01187732009411,BRX,,178.71800000000002,,33.01187732009411,
393180bf,,,,,,,,,,,,,,,2025-02-20 07:30:00+00:00,SK24,A20N,ARN,UME,4625.0,207.0,4480.0,59.59579,17.84262,ADSB,,8.432651817379167,SZS,,191.68200000000002,,8.432651817379167,
393180ff,2025-02-20 07:30:00+00:00,SK1012,CRJ9,ARN,SFT,0.0,17.0,0.0,59.65503,17.93056,ADSB,,0.5455676811488064,BCY,2025-02-20 08:00:00+00:00,SK1012,CRJ9,ARN,SFT,33000.0,402.0,0.0,61.45268,18.84013,ADSB,2025-02-20 08:36:16+00:00,206.01449349902958,BCY,205.97533158994517,372.252,0.5455676811488064,206.01449349902958,True
39318131,2025-02-20 07:30:00+00:00,SK1004,A20N,ARN,LLA,0.0,6.0,0.0,59.66616,17.92381,ADSB,,1.666098866905348,SAS,2025-02-20 08:00:00+00:00,SK1004,A20N,ARN,LLA,33000.0,381.0,0.0,62.05939,19.26259,ADSB,2025-02-20 08:38:24+00:00,276.9268779477664,SAS,275.79464458002667,352.80600000000004,1.666098866905348,276.9268779477664,True
393182a5,2025-02-20 07:30:00+00:00,D84005,B38M,ARN,UME,0.0,5.0,0.0,59.66173,17.92569,ADSB,,1.2074577766101202,NSZ,2025-02-20 08:00:00+00:00,D84005,B38M,ARN,UME,35000.0,407.0,0.0,61.68795,18.87309,ADSB,2025-02-20 08:25:36+00:00,231.8500783465011,NSZ,231.1310973009684,376.882,1.2074577766101202,231.8500783465011,True
3931839c,2025-02-20 07:30:00+00:00,D84533,B738,ARN,AMS,0.0,0.0,0.0,59.64705,17.9274,ADSB,,1.0040968089657658,NSZ,2025-02-20 08:00:00+00:00,D84533,B738,ARN,AMS,0.0,9.0,0.0,59.65098,17.92346,ADSB,2025-02-20 09:55:12+00:00,0.9621406830321448,NSZ,0.4898694229130872,8.334,1.0040968089657658,0.9621406830321448,True
393183c6,2025-02-20 07:30:00+00:00,FR4616,B738,ARN,GDN,0.0,0.0,0.0,59.64676,17.92796,ADSB,,1.006441913240888,RYS,2025-02-20 08:00:00+00:00,FR4616,B738,ARN,GDN,35050.0,474.0,1280.0,58.06526,17.41095,ADSB,2025-02-20 08:44:48+00:00,179.2069577328716,RYS,178.34913775874654,438.92400000000004,1.006441913240888,179.2069577328716,True
393184c0,2025-02-20 07:30:00+00:00,D82603,B38M,ARN,HEL,0.0,0.0,0.0,59.64682,17.92576,ADSB,,1.0875905232542775,NSZ,2025-02-20 08:00:00+00:00,D82603,B38M,ARN,HEL,31000.0,435.0,0.0,60.12794,21.5852,ADSB,2025-02-20 08:21:20+00:00,210.043438604796,NSZ,211.01033782624796,402.81,1.0875905232542775,210.043438604796,True
393184da,2025-02-20 07:30:00+00:00,SK77,AT76,ARN,VBY,0.0,15.0,0.0,59.65439,17.92708,ADSB,,0.7216265249744349,BRX,2025-02-20 08:00:00+00:00,SK77,AT76,ARN,VBY,6900.0,241.0,-832.0,58.05977,18.38615,ADSB,2025-02-20 08:07:32+00:00,179.06774789500022,BRX,179.2670225262884,223.166,0.7216265249744349,179.06774789500022,True
3931874e,,,,,,,,,,,,,,,2025-02-20 08:00:00+00:00,SK105,A20N,ARN,MMX,34975.0,414.0,0.0,58.1565,15.98108,ADSB,2025-02-20 08:32:00+00:00,200.887037952692,SZS,,383.36400000000003,,200.887037952692,
393188ad,,,,,,,,,,,,,,,2025-02-20 08:00:00+00:00,HP772,F50,ARN,VHM,19000.0,253.0,0.0,61.06322,17.63394,MLAT,2025-02-20 09:25:20+00:00,157.64824316430332,APF,,234.27800000000002,,157.64824316430332,
393189da,,,,,,,,,,,,,,,2025-02-20 08:00:00+00:00,D84031,B38M,ARN,LLA,32300.0,409.0,1536.0,60.53824,18.13057,ADSB,2025-02-20 08:53:20+00:00,98.94021290591826,NSZ,,378.73400000000004,,98.94021290591826,
39318cd6,,,,,,,,,,,,,,,2025-02-20 08:00:00+00:00,W2232,B190,ARN,MXX,13975.0,160.0,1280.0,59.79964,17.40269,MLAT,2025-02-20 08:36:16+00:00,34.21201911636206,JON,,148.16,,34.21201911636206,
39318d88,2025-02-20 08:00:00+00:00,SK689,A20N,ARN,LIN,0.0,0.0,0.0,59.65371,17.93131,ADSB,,0.47820722402753707,SAS,2025-02-20 08:30:00+00:00,SK689,A20N,ARN,LIN,0.0,15.0,0.0,59.66621,17.9249,ADSB,2025-02-20 10:52:48+00:00,1.6386513596304428,SAS,1.4358099481842008,13.89,0.47820722402753707,1.6386513596304428,True
39318eda,2025-02-20 08:00:00+00:00,AY804,A320,ARN,HEL,0.0,8.0,0.0,59.64348,17.92391,ADSB,,1.432229005277275,FIN,2025-02-20 08:30:00+00:00,AY804,A320,ARN,HEL,27100.0,380.0,-2176.0,60.21383,22.36954,ADSB,2025-02-20 08:58:22+00:00,254.46360396046222,FIN,255.63376570588798,351.88,1.432229005277275,254.46360396046222,True
39319025,2025-02-20 08:00:00+00:00,SK573,A20N,ARN,CDG,0.0,16.0,0.0,59.65594,17.92495,ADSB,,0.8765573742154773,SZS,2025-02-20 08:30:00+00:00,SK573,A20N,ARN,CDG,35975.0,433.0,0.0,57.45477,14.33486,ADSB,2025-02-20 10:16:32+00:00,321.63593463286844,SZS,321.274853798238,400.958,0.8765573742154773,321.63593463286844,True
3931910e,2025-02-20 08:00:00+00:00,SK2615,A20N,ARN,GVA,0.0,4.0,0.0,59.65406,17.92931,ADSB,,0.5929808435151599,SAS,2025-02-20 08:30:00+00:00,SK2615,A20N,ARN,GVA,36025.0,439.0,0.0,57.3632,14.98509,ADSB,2025-02-20 10:25:04+00:00,307.04196753430466,SAS,306.748623870859,406.514,0.5929808435151599,307.04196753430466,True
