fr24_id,Timestamp,Flight,Aircraft,Origin,Destination,Altitude,Ground_Speed,Vertical_Speed,Lat,Lon,Source,operating_as,Track,ETA,distance_to_airport
3931390f,2025-02-20 05:00:00+00:00,AF1463,BCS3,ARN,CDG,0,0,0,59.64437,17.92699,ADSB,AFR,50,,1.2490666721878334
3931390f,2025-02-20 05:30:00+00:00,AF1463,BCS3,ARN,CDG,0,0,0,59.64373,17.92547,ADSB,AFR,47,,1.3567740824383203
3931390f,2025-02-20 06:00:00+00:00,AF1463,BCS3,ARN,CDG,32200,464,1152,57.78222,15.22366,ADSB,AFR,215,2025-02-20 07:51:28+00:00,260.5170751339221
3931390f,2025-02-20 06:30:00+00:00,AF1463,BCS3,ARN,CDG,34225,436,704,54.7506,11.315,ADSB,AFR,215,2025-02-20 07:51:28+00:00,674.9224767560357
3931390f,2025-02-20 07:00:00+00:00,AF1463,BCS3,ARN,CDG,36000,438,-64,51.77078,7.89783,ADSB,AFR,213,2025-02-20 07:51:28+00:00,1076.4055408120096
3931390f,2025-02-20 07:30:00+00:00,AF1463,BCS3,ARN,CDG,15300,329,-1344,49.52967,3.82977,ADSB,AFR,238,2025-02-20 07:46:32+00:00,1440.8144873082663
39313a52,2025-02-20 05:30:00+00:00,SK130,A20N,MMX,ARN,31000,398,0,56.33125,14.52701,ADSB,SZS,34,2025-02-20 06:13:20+00:00,420.5034935194582
39313a52,2025-02-20 06:00:00+00:00,SK130,A20N,MMX,ARN,15575,299,-1920,58.79664,17.85562,ADSB,SZS,37,2025-02-20 06:17:07+00:00,95.40380608029834
39313aee,2025-02-20 05:00:00+00:00,ZX163,AT72,ARN,VBY,8000,200,0,58.53243,18.1763,MLAT,IMX,166,2025-02-20 05:17:52+00:00,125.39165305083596
39313cd3,2025-02-20 05:30:00+00:00,SK1583,A20N,ARN,AGP,27250,500,1536,58.28636,16.72846,ADSB,SZS,203,2025-02-20 09:12:32+00:00,167.12328288942302
39313cd3,2025-02-20 06:00:00+00:00,SK1583,A20N,ARN,AGP,36000,467,0,54.65405,13.89609,ADSB,SZS,203,2025-02-20 09:12:32+00:00,606.7912225725171
